"Category","Series 1"
"Partij van de Arbeid (P.v.d.A.)",19615
"VVD",15544
"PVV (Partij voor de Vrijheid)",13762
"SP (Socialistische Partij)",8977
"Christen Democratisch Appèl (CDA)",5878
"GROENLINKS",5834
"Democraten 66 (D66)",4920
"Partij voor de Dieren",1428
"ChristenUnie",1333
"TROTS OP NEDERLAND LIJST RITA VERDONK",539
"Partij voor Mens en Spirit (MenS)",212
"Staatkundig Gereformeerde Partij (SGP)",206
"Piratenpartij",101
"Lijst 17",59
"Nieuw Nederland",23
"Heel NL",22
"Partij TTn",16
"Evangelische Partij Nederland",11
