"Category","Series 1"
"Partij van de Arbeid (P.v.d.A.)",3824
"VVD",3676
"Christen Democratisch Appèl (CDA)",3458
"PVV (Partij voor de Vrijheid)",2894
"SP (Socialistische Partij)",2336
"Democraten 66 (D66)",1189
"GROENLINKS",1073
"Partij voor de Dieren",227
"ChristenUnie",168
"TROTS OP NEDERLAND LIJST RITA VERDONK",99
"Partij voor Mens en Spirit (MenS)",48
"Lijst 17",19
"Staatkundig Gereformeerde Partij (SGP)",17
"Piratenpartij",13
"Heel NL",6
"Nieuw Nederland",4
"Evangelische Partij Nederland",3
"Partij TTn",2
