"Category","Series 1"
"VVD",2098
"Partij van de Arbeid (P.v.d.A.)",1401
"Christen Democratisch Appèl (CDA)",1060
"PVV (Partij voor de Vrijheid)",1046
"SP (Socialistische Partij)",600
"GROENLINKS",395
"Democraten 66 (D66)",368
"Partij voor de Dieren",106
"TROTS OP NEDERLAND LIJST RITA VERDONK",59
"ChristenUnie",54
"Partij voor Mens en Spirit (MenS)",30
"Staatkundig Gereformeerde Partij (SGP)",8
"Partij TTn",7
"Lijst 17",6
"Piratenpartij",5
"Heel NL",2
"Evangelische Partij Nederland",1
"Nieuw Nederland",1
