"Category","Series 1"
"Partij van de Arbeid (P.v.d.A.)",2327
"Christen Democratisch Appèl (CDA)",2212
"ChristenUnie",1828
"VVD",1472
"SP (Socialistische Partij)",965
"GROENLINKS",862
"PVV (Partij voor de Vrijheid)",814
"Democraten 66 (D66)",569
"Staatkundig Gereformeerde Partij (SGP)",186
"Partij voor de Dieren",123
"Partij voor Mens en Spirit (MenS)",41
"TROTS OP NEDERLAND LIJST RITA VERDONK",27
"Piratenpartij",11
"Evangelische Partij Nederland",6
"Lijst 17",5
"Nieuw Nederland",3
"Partij TTn",1
