"Category","Series 1"
"Partij van de Arbeid (P.v.d.A.)",7461
"VVD",4328
"SP (Socialistische Partij)",3281
"PVV (Partij voor de Vrijheid)",2912
"GROENLINKS",2846
"Christen Democratisch Appèl (CDA)",2376
"Democraten 66 (D66)",2126
"ChristenUnie",770
"Partij voor de Dieren",514
"Partij voor Mens en Spirit (MenS)",235
"TROTS OP NEDERLAND LIJST RITA VERDONK",107
"Staatkundig Gereformeerde Partij (SGP)",34
"Piratenpartij",32
"Lijst 17",30
"Heel NL",8
"Nieuw Nederland",8
"Evangelische Partij Nederland",4
"Partij TTn",2
