gemeente,gemeente,0
Zeevang,Zijpe,0.9999306770227006
Bergambacht,Graft-De Rijp,0.9999257087256512
Graafstroom,Wymbritseradiel,0.9999253227172858
Bergambacht,Koggenland,0.999921741637573
Hulst,Tholen,0.9999124231428963
Boarnsterhim,Zuidhorn,0.9999081953039186
Opsterland,Weststellingwerf,0.9999005043717865
Beemster,Texel,0.9998953576522315
Bergambacht,Ouderkerk,0.999892982999974
Kaag en Braassem,Reeuwijk,0.9998876637761761
Graafstroom,Winsum,0.9998679350048412
Breukelen,Midden-Delfland,0.999865057102867
Aalburg,Koggenland,0.9998598371001898
Ouderkerk,Zoeterwoude,0.999851052045036
De Wolden,Midden-Drenthe,0.9998450505190974
Graft-De Rijp,Koggenland,0.9998437188561929
Winsum,Wymbritseradiel,0.9998394112759398
Giessenlanden,Gulpen-Wittem,0.9998381415793988
Breukelen,Ouderkerk,0.999833872493177
Graft-De Rijp,Ouderkerk,0.9998217225140222
Oostflakkee,Schouwen-Duiveland,0.9998111074347373
Korendijk,Oostflakkee,0.9998073288485503
Aalburg,Bergambacht,0.9998004343467609
Bergambacht,Waterland,0.9997960089180378
Anna Paulowna,Tholen,0.9997948794062224
Bernisse,Koggenland,0.9997843847891928
Graft-De Rijp,Waterland,0.9997784672582617
Koggenland,Waterland,0.9997782856277265
Breukelen,Brummen,0.9997746550006734
Haarlemmerliede en Spaarnwoude,Wieringen,0.9997685003138743
Anna Paulowna,Hulst,0.9997654433305484
Graafstroom,Kollumerland en Nieuwkruisland,0.999761559986145
Ameland,Texel,0.9997544271689806
Breukelen,Eemnes,0.9997542363918557
Ouderkerk,Waterland,0.9997537385392828
Midden-Delfland,Ouderkerk,0.9997523848291363
Kollumerland en Nieuwkruisland,Oostflakkee,0.9997506435978369
Boarnsterhim,Littenseradiel,0.999744813588104
Loppersum,Vlagtwedde,0.9997414801411827
Medemblik,Wieringen,0.9997409760698002
Beemster,Zeevang,0.9997396179446004
Andijk,Goedereede,0.9997387759190514
Kollumerland en Nieuwkruisland,Winsum,0.9997385069808707
Boarnsterhim,Westerveld,0.9997375286443118
Rijnwaarden,Ubbergen,0.9997370046482124
Noordoostpolder,Wieringermeer,0.9997367751302775
Brummen,Kaag en Braassem,0.9997356249962058
Medemblik,Midden-Delfland,0.9997350301907006
Ooststellingwerf,Slochteren,0.999734044657659
Eemnes,Midden-Delfland,0.9997306598347196
De Marne,Zuidhorn,0.9997294902231949
Eemnes,Zoeterwoude,0.9997264936971719
Nieuwkoop,Reeuwijk,0.9997260079183835
Breukelen,Medemblik,0.9997234489159379
Gulpen-Wittem,Schouwen-Duiveland,0.999719094877307
Breukelen,Zoeterwoude,0.9997190578851095
Menterwolde,Ooststellingwerf,0.9997142882972524
Midden-Delfland,Zoeterwoude,0.9997107083204019
Opsterland,Vlist,0.9997068662932568
Haarlemmerliede en Spaarnwoude,Rijnwaarden,0.9997051056946115
Korendijk,Winsum,0.9997018176050285
Kaag en Braassem,Nieuwkoop,0.9997003888974461
Aalburg,Bernisse,0.999693508883755
Dantumadiel,Reimerswaal,0.9996922362550403
Oostflakkee,Winsum,0.9996922162904692
Wervershoof,Wieringen,0.9996889090470535
Koggenland,Ouderkerk,0.99968587062003
Medemblik,Rijnwaarden,0.9996853417366395
Westerveld,Zuidhorn,0.9996836452441488
Dalfsen,Olst-Wijhe,0.9996788184654127
Eemsmond,Noordoostpolder,0.999678726217281
Kaag en Braassem,Ouderkerk,0.9996780508498249
Ameland,Beemster,0.9996772486567899
Kaag en Braassem,Medemblik,0.9996756776027331
Brummen,Ouderkerk,0.9996638151427878
Strijen,Zijpe,0.9996636024002833
Ameland,Zeevang,0.9996604720497226
Breukelen,Kaag en Braassem,0.9996584128813168
Littenseradiel,Zeewolde,0.9996564658196184
Aalburg,Liesveld,0.9996555263180287
Vlist,Weststellingwerf,0.9996526723832665
Bergambacht,Breukelen,0.9996516070821986
Breukelen,Waterland,0.999647609629488
Brummen,Zoeterwoude,0.9996452027909554
Bernisse,Strijen,0.9996440411967519
Giessenlanden,Lemsterland,0.9996440310364635
Bellingwedde,Nijefurd,0.999641731715208
Eemnes,Ouderkerk,0.9996393188552549
Brummen,Reeuwijk,0.999639262523628
Graafstroom,Korendijk,0.9996391251774301
Grootegast,Menterwolde,0.9996384680486164
Haarlemmerliede en Spaarnwoude,Medemblik,0.9996380615963508
Bergambacht,Bernisse,0.9996371648798423
Graafstroom,Oostflakkee,0.9996350353437986
Littenseradiel,Zuidhorn,0.9996343758435711
Beemster,Zijpe,0.9996325913205497
Aalburg,Graft-De Rijp,0.9996317273280813
Medemblik,Wervershoof,0.9996235178534585
Bernisse,Terneuzen,0.9996221016731835
Bergambacht,Cromstrijen,0.9996217506291147
Borsele,Sluis,0.999620675003156
Graft-De Rijp,Zoeterwoude,0.9996201511435855
Kollumerland en Nieuwkruisland,Schouwen-Duiveland,0.9996195402192104
Cromstrijen,Ouderkerk,0.9996156788001728
Schermer,Sluis,0.9996154424015555
Boarnsterhim,Hulst,0.9996127307023518
Giessenlanden,Schouwen-Duiveland,0.9996122739638329
Nieuwkoop,Voerendaal,0.9996120114925007
Menterwolde,Slochteren,0.9996119775302919
Brummen,Midden-Delfland,0.9996114769316526
Haarlemmerliede en Spaarnwoude,Ubbergen,0.9996113652473338
Dirksland,Oostflakkee,0.9996088052078711
Aa en Hunze,Oldambt,0.9996077366077063
Midden-Delfland,Waterland,0.9996037094471029
Kaag en Braassem,Zoeterwoude,0.9996030420809309
Bergambacht,Zoeterwoude,0.9996027525512805
Gulpen-Wittem,Margraten,0.9995970239550455
Noordoostpolder,Steenbergen,0.9995944563915334
Bernisse,Cromstrijen,0.9995931843983242
Ameland,Zijpe,0.9995921096050211
De Marne,Littenseradiel,0.99959179571866
Brummen,Eemnes,0.9995913254569488
Cromstrijen,Graft-De Rijp,0.9995905561963134
Andijk,Bernisse,0.9995897136928233
Drechterland,Tynaarlo,0.9995882203807819
Midden-Drenthe,Nijefurd,0.9995868267364996
Cromstrijen,Pekela,0.9995863008316266
Medemblik,Ouderkerk,0.9995821709827937
Lemsterland,Zuidhorn,0.999580143523999
Goedereede,Rijnwaarden,0.9995782763970861
Breukelen,Graft-De Rijp,0.9995768011603707
Borsele,Menaldumadeel,0.9995734853729559
Kollumerland en Nieuwkruisland,Zuidhorn,0.9995733917199239
Eemsmond,Steenbergen,0.9995732671176744
