gemeente,gemeente,0
Korendijk,Zijpe,0.9999351052107796
Boarnsterhim,Graafstroom,0.9999277740363981
Zeevang,Zijpe,0.9999171687724149
Eersel,Heeze-Leende,0.9999171588530087
Beemster,Texel,0.9998993926027849
Buren,Neerijnen,0.9998713336798862
Aalburg,Koggenland,0.9998652085300695
Graft-De Rijp,Koggenland,0.9998608051734034
Bergambacht,Graft-De Rijp,0.9998588189065942
Bergambacht,Koggenland,0.9998584824605834
Hulst,Oostflakkee,0.9998522283491218
Aa en Hunze,Menterwolde,0.9998493103289849
Giessenlanden,Gulpen-Wittem,0.9998422812092469
Graafstroom,Westerveld,0.9998336177521772
Dongeradeel,Opsterland,0.9998111851041984
Kollumerland en Nieuwkruisland,Zuidhorn,0.9998107020914218
Boarnsterhim,Westerveld,0.9997957800438098
Schermer,Sluis,0.9997906812796366
Oostflakkee,Tholen,0.9997879507895406
Ameland,Texel,0.9997808072260307
Hulst,Kollumerland en Nieuwkruisland,0.9997806171850588
Hulst,Tholen,0.9997799661274578
Aa en Hunze,Eemsmond,0.9997790828794447
Bergambacht,Waterland,0.9997673247358819
Boarnsterhim,Winsum,0.9997667915607034
Medemblik,Rijnwaarden,0.9997646114446792
Dongeradeel,Steenbergen,0.9997645391657727
Cromstrijen,Pekela,0.9997595046249422
Eemnes,Ouderkerk,0.9997462177054128
Ferwerderadiel,Ooststellingwerf,0.9997435287834731
Hulst,Zuidhorn,0.9997351799778812
Korendijk,Zeevang,0.9997341044582526
Noordenveld,Tytsjerksteradiel,0.9997299507704199
Midden-Delfland,Ouderkerk,0.9997256915768384
Kollumerland en Nieuwkruisland,Oostflakkee,0.999725192408519
Ameland,Beemster,0.9997192460459603
Aalburg,Liesveld,0.9997142171514155
Medemblik,Midden-Delfland,0.9997142083193429
Kaag en Braassem,Medemblik,0.9997130402361788
Korendijk,Noord-Beveland,0.9997044377419775
Aalburg,Bergambacht,0.9997029093842864
Korendijk,Strijen,0.9997018308369995
Bernisse,Koggenland,0.9996966991581551
Cromstrijen,Koggenland,0.9996908854277625
Hollands Kroon,Zuidhorn,0.9996812266919979
Lochem,Oudewater,0.999681203005544
Koggenland,Waterland,0.9996802060814289
Bladel,Sint-Oedenrode,0.9996798346222728
Beemster,Zeevang,0.999678508120843
Eemsmond,Menterwolde,0.9996773909760484
Aalburg,Graft-De Rijp,0.9996766387171723
Graafstroom,Winsum,0.9996762700599154
Opsterland,Steenbergen,0.999673449857779
Graft-De Rijp,Waterland,0.999672618347804
Brummen,Kaag en Braassem,0.999668431593886
Bernisse,Cromstrijen,0.9996656680593927
Strijen,Zijpe,0.9996625146798293
Medemblik,Ouderkerk,0.9996600231138725
Emmen,Zaltbommel,0.9996581466953497
Kaag en Braassem,Ouderkerk,0.9996536092017371
Cromstrijen,Goedereede,0.9996513097228443
Harenkarspel,Opmeer,0.9996496802139244
Beemster,Noord-Beveland,0.9996470364424221
Beemster,Zijpe,0.9996466634290564
Lopik,Menterwolde,0.9996448151161909
Ameland,Zeevang,0.9996419255655078
Bergambacht,Ouderkerk,0.9996388819273331
Noord-Beveland,Zijpe,0.9996367263330824
Dantumadiel,Drechterland,0.9996362512950696
Ameland,Zijpe,0.9996316483133578
Bergambacht,Midden-Delfland,0.9996286448317041
