Perioden	Regio's	Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal)	Bevolking/Bevolkingssamenstelling op 1 januari/Geslacht/Mannen (aantal)	Bevolking/Bevolkingssamenstelling op 1 januari/Geslacht/Vrouwen (aantal)	Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen/Jonger dan 5 jaar (aantal)	Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen/5 tot 10 jaar (aantal)	Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen/10 tot 15 jaar (aantal)	Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen/15 tot 20 jaar (aantal)	Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen/20 tot 25 jaar (aantal)	Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen/25 tot 45 jaar (aantal)	Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen/45 tot 65 jaar (aantal)	Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen/65 tot 80 jaar (aantal)	Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen/80 jaar of ouder (aantal)	Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen. relatief/Jonger dan 5 jaar (%)	Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen. relatief/5 tot 10 jaar (%)	Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen. relatief/10 tot 15 jaar (%)	Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen. relatief/15 tot 20 jaar (%)	Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen. relatief/20 tot 25 jaar (%)	Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen. relatief/25 tot 45 jaar (%)	Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen. relatief/45 tot 65 jaar (%)	Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen. relatief/65 tot 80 jaar (%)	Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen. relatief/80 jaar of ouder (%)	Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Demografische druk/Totale druk (%)	Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Demografische druk/Groene druk (%)	Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Demografische druk/Grijze druk (%)	Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Totale bevolking/Ongehuwd (aantal)	Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Totale bevolking/Gehuwd (aantal)	Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Totale bevolking/Gescheiden (aantal)	Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Totale bevolking/Verweduwd (aantal)	Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Inwoners 15 jaar of ouder (aantal)	Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Ongehuwd (in % van  inwoners 15 jaar of ouder)	Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Gehuwd (in % van  inwoners 15 jaar of ouder)	Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Gescheiden (in % van  inwoners 15 jaar of ouder)	Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Verweduwd (in % van  inwoners 15 jaar of ouder)	Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond/Nederlandse achtergrond (aantal)	Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond/Met migratieachtergrond/Totaal met migratieachtergrond (aantal)	Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond/Met migratieachtergrond/Westerse migratieachtergrond (aantal)	Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond/Met migratieachtergrond/Niet-westerse migratieachtergrond/Totaal niet-westerse migratieachtergrond (aantal)	Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond/Met migratieachtergrond/Niet-westerse migratieachtergrond/Marokko (aantal)	Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond/Met migratieachtergrond/Niet-westerse migratieachtergrond/(voormalige) Nederlandse Antillen. Aruba (aantal)	Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond/Met migratieachtergrond/Niet-westerse migratieachtergrond/Suriname (aantal)	Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond/Met migratieachtergrond/Niet-westerse migratieachtergrond/Turkije (aantal)	Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond/Met migratieachtergrond/Niet-westerse migratieachtergrond/Overig niet-westerse migratieachtergrond (aantal)	Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond. relatief/Nederlandse achtergrond (%)	Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond. relatief/Met migratieachtergrond/Totaal met migratieachtergrond (%)	Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond. relatief/Met migratieachtergrond/Westerse migratieachtergrond (%)	Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond. relatief/Met migratieachtergrond/Niet-westerse migratieachtergrond/Totaal niet-westerse migratieachtergrond (%)	Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond. relatief/Met migratieachtergrond/Niet-westerse migratieachtergrond/Marokko (%)	Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond. relatief/Met migratieachtergrond/Niet-westerse migratieachtergrond/(voormalige) Nederlandse Antillen. Aruba (%)	Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond. relatief/Met migratieachtergrond/Niet-westerse migratieachtergrond/Suriname (%)	Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond. relatief/Met migratieachtergrond/Niet-westerse migratieachtergrond/Turkije (%)	Bevolking/Bevolkingssamenstelling op 1 januari/Migratieachtergrond/Migratieachtergrond. relatief/Met migratieachtergrond/Niet-westerse migratieachtergrond/Overig niet-westerse migratieachtergrond (%)	Bevolking/Bevolkingssamenstelling op 1 januari/Stedelijkheidsklasse/Zeer sterk stedelijk (aantal)	Bevolking/Bevolkingssamenstelling op 1 januari/Stedelijkheidsklasse/Sterk stedelijk (aantal)	Bevolking/Bevolkingssamenstelling op 1 januari/Stedelijkheidsklasse/Matig stedelijk (aantal)	Bevolking/Bevolkingssamenstelling op 1 januari/Stedelijkheidsklasse/Weinig stedelijk (aantal)	Bevolking/Bevolkingssamenstelling op 1 januari/Stedelijkheidsklasse/Niet stedelijk (aantal)	Bevolking/Bevolkingssamenstelling op 1 januari/Bevolkingsdichtheid (aantal inwoners per km²)	Bevolking/Bevolkingsontwikkeling/Geboorte en sterfte/Geboorte (aantal)	Bevolking/Bevolkingsontwikkeling/Geboorte en sterfte/Geboorte. relatief (per 1 000 inwoners)	Bevolking/Bevolkingsontwikkeling/Geboorte en sterfte/Sterfte (aantal)	Bevolking/Bevolkingsontwikkeling/Geboorte en sterfte/Sterfte. relatief (per 1 000 inwoners)	Bevolking/Bevolkingsontwikkeling/Geboorte en sterfte/Geboorteoverschot (aantal)	Bevolking/Bevolkingsontwikkeling/Geboorte en sterfte/Geboorteoverschot. relatief (per 1 000 inwoners)	Bevolking/Bevolkingsontwikkeling/Geboorte en sterfte/Doodsoorzaken/Nieuwvormingen (aantal)	Bevolking/Bevolkingsontwikkeling/Geboorte en sterfte/Doodsoorzaken/Ziekten van hart en vaatstelsel (aantal)	Bevolking/Bevolkingsontwikkeling/Geboorte en sterfte/Doodsoorzaken/Ziekten van ademhalingsstelsel (aantal)	Bevolking/Bevolkingsontwikkeling/Geboorte en sterfte/Doodsoorzaken/Uitwendige doodsoorzaken (aantal)	Bevolking/Bevolkingsontwikkeling/Geboorte en sterfte/Doodsoorzaken/Overige doodsoorzaken (aantal)	Bevolking/Bevolkingsontwikkeling/Verhuizingen/Vestiging uit andere gemeente (aantal)	Bevolking/Bevolkingsontwikkeling/Verhuizingen/Vertrek naar andere gemeente (aantal)	Bevolking/Bevolkingsontwikkeling/Verhuizingen/Binnenlands migratiesaldo (aantal)	Bevolking/Bevolkingsontwikkeling/Verhuizingen/Binnenlands migratiesaldo. relatief (per 1 000 inwoners)	Bevolking/Bevolkingsontwikkeling/Verhuizingen/Verhuismobiliteit. relatief (per 1 000 inwoners)	Bevolking/Bevolkingsontwikkeling/Immigratie en emigratie/Immigratie (aantal)	Bevolking/Bevolkingsontwikkeling/Immigratie en emigratie/Emigratie (aantal)	Bevolking/Bevolkingsontwikkeling/Immigratie en emigratie/Migratiesaldo (aantal)	Bevolking/Bevolkingsontwikkeling/Immigratie en emigratie/Migratiesaldo. relatief (per 1 000 inwoners)	Bevolking/Bevolkingsontwikkeling/Bevolkingsgroei/Inwoners op 31 december (aantal)	Bevolking/Bevolkingsontwikkeling/Bevolkingsgroei/Bevolkingsgroei (aantal)	Bevolking/Bevolkingsontwikkeling/Bevolkingsgroei/Bevolkingsgroei. relatief (per 1 000 inwoners)	Bevolking/Bevolkingsontwikkeling/Bevolkingsgroei/Gemiddeld aantal inwoners (aantal)	Bevolking/Particuliere huishoudens/Particuliere huishoudens/Totaal aantal particuliere huishoudens (aantal)	Bevolking/Particuliere huishoudens/Particuliere huishoudens/Eenpersoonshuishoudens (aantal)	Bevolking/Particuliere huishoudens/Particuliere huishoudens/Huishoudens zonder kinderen (aantal)	Bevolking/Particuliere huishoudens/Particuliere huishoudens/Huishoudens met kinderen (aantal)	Bevolking/Particuliere huishoudens/Particuliere huishoudens. relatief/Eenpersoonshuishoudens (%)	Bevolking/Particuliere huishoudens/Particuliere huishoudens. relatief/Huishoudens zonder kinderen (%)	Bevolking/Particuliere huishoudens/Particuliere huishoudens. relatief/Huishoudens met kinderen (%)	Sociale zekerheid/Uitkeringsontvangers. totaal/Uitkeringsontvangers. totaal (aantal)	Sociale zekerheid/Uitkeringsontvangers. totaal/Tot de AOW- leeftijd (aantal)	Sociale zekerheid/Uitkeringsontvangers. totaal/Vanaf de AOW- leeftijd (aantal)	Sociale zekerheid/Uitkeringsontvangers per soort uitkering/Werkloosheid (aantal)	Sociale zekerheid/Uitkeringsontvangers per soort uitkering/Bijstand en bijstandsgerelateerd/Bijstand(gerelateerd) tot AOW-leeftijd (aantal)	Sociale zekerheid/Uitkeringsontvangers per soort uitkering/Bijstand en bijstandsgerelateerd/Bijstand(gerelateerd) vanaf AOW-leeftijd (aantal)	Sociale zekerheid/Uitkeringsontvangers per soort uitkering/Bijstand en bijstandsgerelateerd/Bijstand tot de AOW-leeftijd (aantal)	Sociale zekerheid/Uitkeringsontvangers per soort uitkering/Arbeidsongeschiktheid/Arbeidsongeschiktheid. totaal (aantal)	Sociale zekerheid/Uitkeringsontvangers per soort uitkering/Arbeidsongeschiktheid/WAO-uitkering (aantal)	Sociale zekerheid/Uitkeringsontvangers per soort uitkering/Arbeidsongeschiktheid/WIA-uitkering: WGA-regeling (aantal)	Sociale zekerheid/Uitkeringsontvangers per soort uitkering/Arbeidsongeschiktheid/Wajong-uitkering (aantal)	Sociale zekerheid/Uitkeringsontvangers per soort uitkering/AOW (aantal)
2007	Aa en Hunze	25563	12653	12910	1330	1600	1599	1409	838	5977	8289	3422	1099	5.2	6.3	6.3	5.5	3.3	23.4	32.4	13.4	4.3	69.2	39.3	29.9	10042	12635	1216	1670	21034	26.2	60.1	5.8	7.9	24252	1311	967	344	7	32	83	12	210	94.9	5.1	3.8	1.3	0	0.1	0.3	0	0.8	0	0	0	3100	22460	92	237	9.3	235	9.2	2	0.1	75	81	20	4	55	1151	1099	52	2	81	57	93	-36	-1.4	25598	35	1.4	25580.5	10595	2631	4141	3823	24.8	39.1	36.1	1910	1900	10	340	270	10	210	1340	840	30	390	
2008	Aa en Hunze	25598	12668	12930	1289	1605	1572	1487	838	5797	8403	3465	1142	5	6.3	6.1	5.8	3.3	22.6	32.8	13.5	4.5	70.2	39.6	30.6	10111	12576	1234	1677	21132	26.7	59.5	5.8	7.9	24262	1336	992	344	7	31	87	8	211	94.8	5.2	3.9	1.3	0	0.1	0.3	0	0.8	0	0	0	3120	22480	92	223	8.7	219	8.5	4	0.2	71	63	21	8	56	1087	1096	-9	-0.4	71.8	76	25	51	2	25675	77	3	25636.5	10671	2706	4128	3837	25.4	38.7	36	1800	1790	10	270	260	10	210	1300	770	60	380	
2009	Aa en Hunze	25675	12763	12912	1228	1604	1595	1504	851	5662	8478	3564	1189	4.8	6.2	6.2	5.9	3.3	22.1	33	13.9	4.6	71.3	39.6	31.7	10147	12597	1274	1657	21248	26.9	59.3	6	7.8	24201	1474	1018	456	7	35	91	7	316	94.3	5.7	4	1.8	0	0.1	0.4	0	1.2	0	0	0	3150	22530	93	205	8	240	9.4	-35	-1.4	84	77	21	9	49	984	1055	-71	-2.8	76.6	90	76	14	0.5	25563	-112	-4.4	25619	10783	2795	4149	3839	25.9	38.5	35.6	2010	1990	10	410	310	10	250	1310	730	80	420	
2010	Aa en Hunze	25563	12685	12878	1188	1564	1660	1482	823	5390	8590	3670	1196	4.6	6.1	6.5	5.8	3.2	21.1	33.6	14.4	4.7	72.7	39.8	32.9	9923	12478	1479	1683	21151	26.1	59	7	8	24089	1474	1024	450	9	31	88	11	311	94.2	5.8	4	1.8	0	0.1	0.3	0	1.2	0	0	0	3160	22400	92	195	7.6	236	9.2	-41	-1.6	78	66	25	8	59	1095	990	105	4.1	70.5	211	61	150	5.8	25785	222	8.7	25674	10829	2822	4212	3795	26.1	38.9	35	2030	2020	10	430	330	10	290	1290	680	100	430	
2016	Aa en Hunze	25243	12577	12666	941	1207	1543	1530	942	4410	8535	4727	1408	3.7	4.8	6.1	6.1	3.7	17.5	33.8	18.7	5.6	81.8	37.6	44.2	9851	11991	1770	1631	21552	28.6	55.6	8.2	7.6	23755	1488	1050	438	12	26	66	7	327	94.1	5.9	4.2	1.7	0	0.1	0.3	0	1.3	0	0	0	4230	21010	91	136	5.4	274	10.8	-138	-5.5	94	68	20	9	83	1374	1188	186	7.4	87.4	83	92	-9	-0.4	25286	43	1.7	25264.5	10904	2996	4335	3573	27.5	39.8	32.8	8200	2130	6070	560	470	20	390	1140	380	160	450	6070
2017	Aa en Hunze	25286	12603	12683	936	1164	1472	1599	959	4383	8467	4853	1453	3.7	4.6	5.8	6.3	3.8	17.3	33.5	19.2	5.7	83.1	37.4	45.7	9951	11895	1793	1647	21714	29.4	54.8	8.3	7.6	23702	1584	1056	528	12	34	64	10	408	93.7	6.3	4.2	2.1	0	0.1	0.3	0	1.6	0	0	0	4210	21080	92																									10991	3087	4320	3584	28.1	39.3	32.6												
2018	Aa en Hunze	25399																																																																																																			
2007	Aalburg	12293	6156	6137	827	958	958	871	784	3409	2957	1134	395	6.7	7.8	7.8	7.1	6.4	27.7	24.1	9.2	3.2	71.9	50.5	21.4	5392	5975	340	586	9550	27.7	62.6	3.6	6.1	11846	447	320	127	12	10	22	6	77	96.4	3.6	2.6	1	0.1	0.1	0.2	0	0.6	0	0	0	2320	9970	244	133	10.8	73	5.9	60	4.9	26	25	6	4	12	355	343	12	1	71.2	38	19	19	1.5	12386	93	7.6	12339.5	4289	860	1298	2131	20.1	30.3	49.7	510	500	0	80	70	0	50	370	270	10	60	
2008	Aalburg	12386	6214	6172	801	967	941	881	775	3433	3022	1149	417	6.5	7.8	7.6	7.1	6.3	27.7	24.4	9.3	3.4	71.3	49.7	21.7	5419	6023	354	590	9677	28	62.2	3.7	6.1	11915	471	335	136	12	9	24	6	85	96.2	3.8	2.7	1.1	0.1	0.1	0.2	0	0.7	0	0	0	3850	8540	246	176	14.1	92	7.4	84	6.7	28	37	7	1	19	416	344	72	5.8	80.6	32	22	10	0.8	12556	170	13.7	12471	4363	881	1366	2116	20.2	31.3	48.5	510	500	10	80	70	0	60	370	260	20	60	
2009	Aalburg	12556	6311	6245	798	952	974	895	757	3415	3156	1182	427	6.4	7.6	7.8	7.1	6	27.2	25.1	9.4	3.4	71.3	49.4	22	5481	6113	366	596	9832	28	62.2	3.7	6.1	12046	510	369	141	11	8	22	10	90	95.9	4.1	2.9	1.1	0.1	0.1	0.2	0.1	0.7	0	0	0	3940	8610	249	160	12.7	74	5.9	86	6.8	18	27	7	3	19	295	323	-28	-2.2	51.3	25	24	1	0.1	12614	58	4.6	12585	4475	951	1401	2123	21.3	31.3	47.4	560	560	0	140	60	0	60	370	240	30	80	
2010	Aalburg	12614	6312	6302	801	926	945	924	756	3368	3216	1236	442	6.4	7.3	7.5	7.3	6	26.7	25.5	9.8	3.5	71.9	49	22.9	5458	6143	397	616	9942	28	61.8	4	6.2	12086	528	381	147	12	7	20	11	97	95.8	4.2	3	1.2	0.1	0.1	0.2	0.1	0.8	0	0	0	3990	8630	250	159	12.6	94	7.4	65	5.1	36	25	8	4	21	330	351	-21	-1.7	54.5	45	18	27	2.1	12685	71	5.6	12649.5	4538	968	1444	2126	21.3	31.8	46.8	590	590	0	140	60	0	60	390	240	40	80	
2016	Aalburg	13038	6582	6456	824	829	921	937	811	3045	3556	1625	490	6.3	6.4	7.1	7.2	6.2	23.4	27.3	12.5	3.8	75.9	47.4	28.5	5626	6207	553	652	10464	29.2	59.3	5.3	6.2	12325	713	494	219	13	6	17	12	171	94.5	5.5	3.8	1.7	0.1	0	0.1	0.1	1.3	0	0	0	4540	8500	259	152	11.6	114	8.7	38	2.9	33	29	10	11	31	403	424	-21	-1.6	76.2	58	41	17	1.3	13067	29	2.2	13052.5	4868	1172	1506	2190	24.1	30.9	45	2800	700	2100	200	150	10	130	360	140	70	90	2100
2017	Aalburg	13067	6615	6452	793	844	890	943	817	3006	3584	1711	479	6.1	6.5	6.8	7.2	6.3	23	27.4	13.1	3.7	76.4	46.8	29.6	5639	6227	566	635	10540	29.5	59.1	5.4	6	12308	759	497	262	13	6	18	12	213	94.2	5.8	3.8	2	0.1	0	0.1	0.1	1.6	0	0	0	4480	8590	259																									4923	1227	1513	2183	24.9	30.7	44.3												
2018	Aalburg	13143																																																																																																			
2007	Aalsmeer	25019	12467	12552	1514	1562	1528	1456	1093	7028	6973	2912	953	6.1	6.2	6.1	5.8	4.4	28.1	27.9	11.6	3.8	65.8	40.1	25.6	10815	11580	1308	1316	20415	30.4	56.7	6.4	6.4	21695	3324	2139	1185	284	49	218	52	582	86.7	13.3	8.5	4.7	1.1	0.2	0.9	0.2	2.3	0	0	3210	16260	5550	1216	315	12.3	169	6.6	146	5.7	57	51	17	12	32	2020	801	1219	47.4	102.7	197	201	-4	-0.2	26386	1367	54.6	25702.5	10307	2811	3390	4106	27.3	32.9	39.8	1340	1320	20	210	150	10	130	1010	710	30	190	
2008	Aalsmeer	26386	13108	13278	1687	1707	1557	1569	1137	7441	7214	3057	1017	6.4	6.5	5.9	5.9	4.3	28.2	27.3	11.6	3.9	67.1	41.3	25.8	11671	11964	1417	1334	21435	31.4	55.8	6.6	6.2	22718	3668	2300	1368	318	61	250	62	677	86.1	13.9	8.7	5.2	1.2	0.2	0.9	0.2	2.6	0	0	4990	17910	3480	1282	358	13.2	196	7.2	162	6	60	65	19	11	41	2172	807	1365	50.2	100.4	249	166	83	3.1	28006	1620	61.4	27196	10858	3009	3502	4347	27.7	32.3	40	1340	1320	20	190	160	20	150	1000	680	50	200	
2009	Aalsmeer	28006	13920	14086	1909	1864	1689	1603	1253	7969	7533	3153	1033	6.8	6.7	6	5.7	4.5	28.5	26.9	11.3	3.7	67.2	42.2	25	12689	12469	1506	1342	22544	32.1	55.3	6.7	6	23926	4080	2513	1567	332	93	323	63	756	85.4	14.6	9	5.6	1.2	0.3	1.2	0.2	2.7	0	0	5030	19620	3350	1367	343	12	180	6.3	163	5.7	66	47	16	6	45	1685	725	960	33.6	76.8	255	215	40	1.4	29187	1181	42.2	28596.5	11458	3137	3624	4697	27.4	31.6	41	1500	1480	20	340	170	20	170	1000	640	80	210	
2010	Aalsmeer	29187	14480	14707	1994	2041	1717	1686	1339	8256	7806	3284	1064	6.8	7	5.9	5.8	4.6	28.3	26.7	11.3	3.6	67.7	42.7	25	13363	12840	1632	1352	23435	32.5	54.8	7	5.8	24783	4404	2690	1714	341	103	361	75	834	84.9	15.1	9.2	5.9	1.2	0.4	1.2	0.3	2.9	0	0	6320	19520	3340	1425	387	13	189	6.4	198	6.7	66	57	12	10	44	1477	773	704	23.7	67.7	301	200	101	3.4	30189	1002	34.3	29688	11952	3295	3753	4904	27.6	31.4	41	1540	1520	20	350	210	20	190	980	590	100	220	
2016	Aalsmeer	31299	15477	15822	1707	2137	2183	1798	1590	7389	8876	4221	1398	5.5	6.8	7	5.7	5.1	23.6	28.4	13.5	4.5	75.3	43.8	31.5	14652	13228	1937	1482	25272	34.1	52.3	7.7	5.9	25640	5659	3395	2264	423	114	431	104	1192	81.9	18.1	10.8	7.2	1.4	0.4	1.4	0.3	3.8	0	0	12910	15500	2890	1555	260	8.3	243	7.8	17	0.5	78	49	27	11	78	1432	1463	-31	-1	80	316	228	88	2.8	31373	74	2.4	31336	12831	3682	3801	5348	28.7	29.6	41.7	7290	1730	5560	590	280	20	260	890	310	230	250	5560
2017	Aalsmeer	31373	15516	15857	1607	2109	2150	1899	1585	7221	9089	4274	1439	5.1	6.7	6.9	6.1	5.1	23	29	13.6	4.6	75.3	43.4	31.9	14718	13181	2001	1473	25507	34.7	51.7	7.8	5.8	25517	5856	3491	2365	436	123	451	114	1241	81.3	18.7	11.1	7.5	1.4	0.4	1.4	0.4	4	0	0	12950	15520	2900	1559																									12965	3803	3805	5357	29.3	29.3	41.3												
2018	Aalsmeer	31502																																																																																																			
2007	Aalten	27570	13787	13783	1624	1778	1749	1720	1300	7335	7656	3298	1110	5.9	6.4	6.3	6.2	4.7	26.6	27.8	12	4	69.2	42.2	27.1	12081	12798	925	1766	22419	30.9	57.1	4.1	7.9	24175	3395	2560	835	11	16	51	355	402	87.7	12.3	9.3	3	0	0.1	0.2	1.3	1.5	0	0	4710	14790	8070	285	319	11.6	217	7.9	102	3.7	67	74	28	7	41	654	743	-89	-3.2	66.5	98	124	-26	-0.9	27568	-2	-0.1	27569	11038	2993	3656	4389	27.1	33.1	39.8	1800	1780	30	290	220	20	190	1300	840	30	360	
2008	Aalten	27568	13807	13761	1604	1794	1707	1728	1294	7153	7798	3350	1140	5.8	6.5	6.2	6.3	4.7	25.9	28.3	12.2	4.1	69.7	42.1	27.6	12101	12771	970	1726	22463	31.1	56.9	4.3	7.7	24182	3386	2522	864	13	20	46	361	424	87.7	12.3	9.1	3.1	0	0.1	0.2	1.3	1.5	0	0	5650	13820	8100	285	298	10.8	244	8.9	54	2	76	79	25	8	56	675	863	-188	-6.8	68.2	122	109	13	0.5	27447	-121	-4.4	27507.5	11005	2957	3670	4378	26.9	33.3	39.8	1710	1680	30	260	200	20	170	1250	780	40	350	
